X,Y,id,name,year,year 2,notes,books,1414Revolt,1431Revolt,years_all,year_oldest
1.01919816112175,51.9782873017519,126,Berghott,1428,,"I found only ""East Berghott"" at the location.",,,,,
0.874033963390414,51.9715513019509,127,Nayland,1428,,,,,,,
1.08174430068796,51.8021703911304,128,S. Osyth,1506,,,,,,,
0.902026918792319,51.8908156949086,129,Colchester,1428,,,1,1,,,
0.639107465280802,51.9452253363988,130,Halstead,,,,,1,,,
0.689910965463316,51.8723767459585,131,Coggeshall,,,,,1,,,
0.705350466690658,51.8400405448936,132,Kelvedon,,,,,1,,,
0.637820367675731,51.8856786445553,133,Pattiswick,,,,,1,,,
0.67848017792225,51.7314027029855,134,Maldon,1430,,,,,,,
0.476695025634826,51.7312552821144,135,Chelmsford,1430,1521,,,,,,
0.344566234925771,51.9526360701865,136,Thaxted,,,,,1,,,
0.167235937134684,51.9185761789369,137,Manuden,1431,,,,,,,
0.019242392685598,51.8841023752416,138,Standon,1453,,,,,,,
-0.032173471115188,51.8120475894917,139,Ware,1477,1521,,,,,,
0.219882198205515,51.7282898545926,140,Bobbingworth,1468,,,,,,,
0.008718810504934,51.6872671622019,141,Waltham Abbey,1439,1513,,,,,,
0.563225406916674,51.4207529074498,142,Hoo,,,,,1,,,
0.484888224045957,51.3966892852652,143,Strood,1436,,,,,,,
0.502782849779888,51.389511022851,144,Rochester,1425,,,,,,,
0.446967039981152,51.3274354960655,145,Snodeland,1516,,,,,,,
0.379244159827139,51.3048460825915,146,Addington,1426,,,,,,,
0.406947943520417,51.2944132209469,147,West Malling,1425,,,,,,,
0.340086908458786,51.2253975731543,148,Hadlow,1431,,,1,,,,
0.275505226865165,51.1973592574843,149,Tonbridge,1496,,,1,,,,
0.40052379556207,51.150258289179,150,Brenchley,1431,,,,,,,
0.629905000906224,51.0530625748789,151,Rolvenden,1425,,,,,,,
0.581312813789689,51.0667500357539,152,Benenden,1425,,,,,,,
0.694418642097814,51.0717169851021,153,Tenterden,1422,,,1,,,,
0.481968156792164,50.9915597214771,154,Salehurst,1438,,,1,,,,
0.707221577746488,51.0142058352861,155,Wittersham,1428,,,1,,,,
0.893873410615706,50.9899834521634,156,Romney,1425,,There is New and Old Romney. It makes more sense to place it at Old.,,,,,
0.869548966889926,51.03410765288,157,Snave,1425,,,,,,,
0.776220215438566,51.0728680019032,158,Woodchurch,1425,,,,,,,
0.872848926388389,51.1469696697475,159,Ashford,1511,,,,,,,
0.896578016596404,51.1431764173343,160,Willesborough,1427,,,,,,,
0.615157243766188,51.2143920381259,161,East Sutton,1454,,,,,,,
0.522043953587923,51.27105835295,162,Maidstone,1495,,,1,,,,
0.544684397363457,51.3061445202635,163,Boxley,1511,,,,,,,
0.88519825935686,51.3192649777883,164,Davington,,,Now part of Faversham,,1,,,
1.08163090001791,51.2797561843428,165,Canterbury,1469,,,,,,,
1.07099108215045,51.3054442711259,166,Hackington,1470,,"Couldn't find it, placed approx. according to google maps.",,,,,
1.12448217821315,51.24692952538,167,Bridge,1497,,,,,,,
1.31416747900621,51.1254093673541,168,Dover,,,,,1,,,
1.27545249025106,51.1456627270251,169,River,1511,,,,,,,
1.37497008327041,51.1848851837787,170,Ringwold,1473,,,,,,,
-1.88452238608459,51.8596248406113,171,Hasleton,1425,,,,,,,
-1.7204996569239,51.8159655826419,172,Windrush,1521,,,,,,,
-1.63699140349889,51.8065533270277,173,Burford,1521,,,,,,,
-1.5844415329976,51.8003219602085,174,Asthall,1521,,,,,,,
-1.69089074197378,51.6939407916343,175,Lechlade,1521,,,,,,,
-1.66725804233531,51.6761142063025,176,Buscot,1499,,,,,,,
-1.58176527718442,51.6551237422762,177,Farington,1499,,,1,,,,
-1.49225245828025,51.787836546436,178,Witney,1521,,,,,,,
-1.611289141632,51.6420940052874,179,Coxwell,1499,,There is Great and Little Coxwell. I placed it at Great.,,,,,
-1.46226932111896,51.5620955026004,180,Letcombe Basset,1499,1508,,1,,,,
-1.42548781378816,51.5887106398612,181,Wantage,1521,,,,,,,
-1.32114785727492,51.624329790324,182,Steventon,1428,,,1,,1,,
-1.29301882106896,51.8205696498459,183,Kidlington,1416,,,,1,,,
-1.27653036364365,51.8733123014863,184,Kirtlington,,,,,1,,,
-1.35694277877629,51.8474796288488,185,Woodstock,,,,,1,,,
-1.24847503787322,51.7534364531761,186,Oxford,,,,,,1,,
-1.45247150322662,51.5760324449495,187,Letcombe Regis,1508,,,,,,,
-1.16509719521877,51.614503622264,188,Brightwell,1521,,,,,,,
-1.12563376204128,51.5994666934154,189,Wallingford,1443,,,1,,,,
-0.970444945077505,51.745322635234,190,Thame,1464,,,,,,,
-0.913154926568116,51.7010056533784,191,Chinnor,1464,,,,1,,,
-0.904411734907241,51.5350097525588,192,Henley,1462,,,1,1,,,
-0.96391306648261,51.4487912231196,193,Reading,1416,,,,,,,
-0.617111137334919,51.4815413366301,194,Windsor,1502,,,,,,,
-0.556850021270214,51.4444479774567,195,Ankerwick,1521,,"Placed after ""Ankerwycke Yew"" on google maps.",,,,,
-0.632431567858709,51.3279741492481,196,Bisley,1514,,,,,,,
-0.420451695333766,51.3852188074894,197,Walton,1521,,,1,,,,
-0.305315995031742,51.4100989144985,198,Kingston,1513,,,,,,,
-0.256349585704042,51.3867497165351,199,Malden,1513,,,,,,,
-0.596874787764452,51.9080866169572,200,Stanbridge,,,,,1,,,
-0.284728103384118,51.9560324202545,201,Hitchin,,,,,1,,,
